Rank,Previous Rank,University,Country,Region,Size,Focus,Research,Status,Academic Reputation SCORE,Academic Reputation  RANK,Employer Reputation SCORE,Employer Reputation RANK,Faculty Student Ratio SCORE,Faculty Student Ratio RANK,Citations per Faculty SCORE,Citations per Faculty RANK,International Faculty  SCORE,International Faculty  RANK,International Student SCORE,International student  RANK,International Students Diversity SCORE,International Students Diversity RANK,International Research Network SCORE,International Research Network RANK,Employment Outcomes SCORE,Employment Outcomes RANK,Sustainability SCORE,Sustainability RANK,Overall SCORE,Ranking_Source,Student Population,Students to Staff Ratio,International Students,Female to Male Ratio,Overall Score,Teaching,Research Environment,Research Quality,Industry Impact,International Outlook,Year
14,14,Peking University,China (Mainland),Asia,XL,FC,VH,Public,99.9,12.0,99.6,17.0,96.2,66.0,99.2,35.0,59.9,391,37.3,523.0,27.9,640.0,83.2,29000%,97.0,58.0,70.6,308=,92.6,QS,,,,,,,,,,,
15,11,University of Pennsylvania,United States of America,Americas,L,FC,VH,Private not for Profit,98.9,30.0,98.7,28.0,99.9,29.0,72.0,199.0,96.9,151,76.3,249.0,78.6,221.0,89.4,18200%,100.0,4.0,95.0,24,92.5,QS,,,,,,,,,,,
16,16,Cornell University,United States of America,Americas,L,FC,VH,Private not for Profit,99.5,25.0,98.8,27.0,64.3,276.0,98.0,48.0,57.6,401,75.7,251.0,56.4,363.0,93.0,12600%,99.3,24.0,76.8,218,91.6,QS,,,,,,,,,,,
17,20,Tsinghua University,China (Mainland),Asia,XL,FC,VH,Public,99.9,16.0,99.7,15.0,97.1,63.0,99.6,26.0,39.5,502,31.9,570.0,23.9,707.0,80.4,34700%,97.0,60.0,68.7,339=,91.2,QS,,,,,,,,,,,
17,12,"University of California, Berkeley (UCB)",United States of America,Americas,XL,FC,VH,Public,100.0,6.0,100.0,6.0,29.4,643.0,97.2,53.0,95.6,172,70.6,273.0,52.6,392.0,96.7,4700%,99.8,17.0,98.8,3=,91.2,QS,,,,,,,,,,,
19,13,The University of Melbourne,Australia,Oceania,XL,FC,VH,Public,99.7,21.0,97.4,35.0,20.5,801.0,94.8,72.0,96.7,156,100.0,37.0,74.4,239.0,96.9,4000%,98.3,39.0,98.2,9=,90.8,QS,,,,,,,,,,,
20,19,The University of New South Wales,Australia,Oceania,XL,FC,VH,Public,96.3,43.0,93.5,59.0,29.9,632.0,96.9,58.0,100.0,69,99.9,41.0,99.9,30.0,97.6,2500%,98.7,32.0,97.0,12=,90.7,QS,,,,,,,,,,,
21,23,Yale University,United States of America,Americas,L,FC,VH,Private not for Profit,100.0,9.0,100.0,7.0,100.0,12.0,64.8,250.0,86.7,247,72.7,262.0,75.4,232.0,92.9,13100%,99.8,18.0,82.4,144=,90.4,QS,,,,,,,,,,,
22,26,École Polytechnique Fédérale de Lausanne,Switzerland,Europe,M,FO,VH,Public,92.7,55.0,88.0,79.0,90.0,103.0,93.1,87.0,100.0,12,100.0,17.0,100.0,11.0,83.6,28100%,47.3,371.0,85.3,107=,90.2,QS,,,,,,,,,,,
22,28,Technical University of Munich,Germany,Europe,XL,FO,VH,Public,92.0,60.0,99.7,16.0,70.5,223.0,92.6,90.0,86.3,252,98.9,72.0,98.9,63.0,95.9,6300%,57.3,293.0,87.8,83=,90.2,QS,,,,,,,,,,,
24,32,Johns Hopkins University,United States of America,Americas,L,FC,VH,Private not for Profit,93.2,51.0,79.2,108.0,100.0,14.0,85.8,118.0,70.8,333,94.2,137.0,94.6,113.0,97.4,2900%,84.1,141.0,93.0,35,89.7,QS,,,,,,,,,,,
25,22,Princeton University,United States of America,Americas,M,CO,VH,Private not for Profit,100.0,10.0,99.8,13.0,67.3,253.0,100.0,5.0,12.7,801,70.0,280.0,52.2,397.0,82.6,30000%,98.9,28.0,76.0,222,89.4,QS,,,,,,,,,,,
