university_name,country,year,ranking_source,rank,score
University of Zurich (UZH),Switzerland,2026,QS,100,68.5
University of Copenhagen,Denmark,2026,QS,101,68.4
Pohang University of Science And Technology (POSTECH),Republic of Korea,2026,QS,102,67.9
Nanjing University,China (Mainland),2026,QS,103,67.7
Utrecht University,Netherlands,2026,QS,103,67.7
Lomonosov Moscow State University,Russian Federation,2026,QS,105,67.6
Rheinisch-Westfälische Technische Hochschule Aachen,Germany,2026,QS,105,67.6
Technical University of Denmark,Denmark,2026,QS,107,67.5
Universidade de São Paulo (USP),Brazil,2026,QS,108,67.3
Tohoku University,Japan,2026,QS,109,66.7
Queen Mary University of London (QMUL),United Kingdom,2026,QS,110,66.6
University of Wisconsin-Madison,United States of America,2026,QS,110,66.6
Qatar University,Qatar,2026,QS,112,66.5
University of St Andrews,United Kingdom,2026,QS,113,66.4
Aalto University,Finland,2026,QS,114,66.3
"University of California, Davis",United States of America,2026,QS,114,66.3
Pontificia Universidad Católica de Chile,Chile,2026,QS,116,66.1
University of Helsinki,Finland,2026,QS,116,66.1
University College Dublin,Ireland,2026,QS,118,66
Leiden University,Netherlands,2026,QS,119,65.7
Rice University,United States of America,2026,QS,119,65.7
University of Oslo,Norway,2026,QS,119,65.7
University of Waterloo,Canada,2026,QS,119,65.7
Georgia Institute of Technology,United States of America,2026,QS,123,65.5
Indian Institute of Technology Delhi (IITD),India,2026,QS,123,65.5
RMIT University,Australia,2026,QS,125,65.3
Sungkyunkwan University,Republic of Korea,2026,QS,126,65.2
Universiti Kebangsaan Malaysia (UKM),Malaysia,2026,QS,126,65.2
Sapienza University of Rome,Italy,2026,QS,128,64.9
Indian Institute of Technology Bombay (IITB),India,2026,QS,129,64.8
Humboldt-Universität zu Berlin,Germany,2026,QS,130,64.5
Aarhus University,Denmark,2026,QS,131,64.3
University of Bath,United Kingdom,2026,QS,132,64.2
University of Science and Technology of China,China (Mainland),2026,QS,132,64.2
Universiti Putra Malaysia (UPM),Malaysia,2026,QS,134,64.1
Universiti Sains Malaysia (USM),Malaysia,2026,QS,134,64.1
Universidad Nacional Autónoma de México (UNAM),Mexico,2026,QS,136,64
Newcastle University,United Kingdom,2026,QS,137,63.9
Alma Mater Studiorum - University of Bologna,Italy,2026,QS,138,63.3
Macquarie University,Australia,2026,QS,138,63.3
Eindhoven University of Technology,Netherlands,2026,QS,140,63.2
Erasmus University Rotterdam,Netherlands,2026,QS,140,63.2
"University of North Carolina, Chapel Hill",United States of America,2026,QS,140,63.2
King Saud University,Saudi Arabia,2026,QS,143,63.1
Texas A&M University,United States of America,2026,QS,144,63
Technische Universität Berlin,Germany,2026,QS,145,62.8
University of Southern California,United States of America,2026,QS,146,62.6
Stockholm University,Sweden,2026,QS,147,62.5
University of Groningen,Netherlands,2026,QS,147,62.5
University of Liverpool,United Kingdom,2026,QS,147,62.5
University of Cape Town,South Africa,2026,QS,150,62.3
Western University,Canada,2026,QS,151,62
University of Vienna,Austria,2026,QS,152,61.9
Universiti Teknologi Malaysia (UTM),Malaysia,2026,QS,153,61.6
Wageningen University & Research,Netherlands,2026,QS,153,61.6
University of Exeter,United Kingdom,2026,QS,155,61.5
University of Geneva,Switzerland,2026,QS,155,61.5
Lancaster University,United Kingdom,2026,QS,157,61.4
