University_Name,Country,Year,QS_Rank,QS_Previous_Rank,QS_Academic_Reputation_Score,QS_Region,QS_Size,QS_Focus,QS_Research_Level,QS_Status,THE_Rank,THE_Student_Population,THE_Students_to_Staff_Ratio,THE_International_Students_Pct,THE_Female_Ratio,THE_Male_Ratio,THE_Overall_Score,THE_Teaching,THE_Research_Environment,THE_Research_Quality,THE_Industry_Impact,THE_International_Outlook,Data_Source,QS_THE_Match_Status,QS_Data_Available,THE_Data_Available
Amirkabir University of Technology,Iran,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,385,8344,17.8,4,34,66,50.2755,37.1,33,75.3,91.9,46.6,THE only,THE record not matched in QS,FALSE,TRUE
Amirkabir University of Technology,Iran (Islamic Republic of),2026,456,403,8.5,Asia,M,SP,VH,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Amity University,India,2026,975.5,1100.5,10.5,Asia,L,CO,VH,Private not for Profit,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
"Amity University, Gurugram",India,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1292,5677,14.8,1,52,48,30.4785,24.9,13.4,53.6,17.3,33,THE only,THE record not matched in QS,FALSE,TRUE
Amity University - Kolkata,India,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1723,5985,15,10,72,28,23.7005,18,11.5,33.5,22.2,54.9,THE only,THE record not matched in QS,FALSE,TRUE
"Amity University, Noida",India,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,662,29510,14.9,14,57,43,42.127,28.7,17.6,76.9,42.1,50.7,THE only,THE record not matched in QS,FALSE,TRUE
"Amity University Rajasthan, Jaipur",India,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,991,3978,19.5,0,40,60,35.6685,31.6,12.8,65.9,17.8,28.7,THE only,THE record not matched in QS,FALSE,TRUE
Amman Arab University,Jordan,2026,1300.5,-1,8.4,Asia,S,FO,VH,Private not for Profit,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Amrita Vishwa Vidyapeetham,India,2026,1100.5,1100.5,6.9,Asia,L,FC,VH,Private not for Profit,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
An-Najah National University,Palestine,2026,1100.5,1100.5,13.5,Asia,L,FC,MD,Public,914,25887,27,12,63,37,36.959,24.7,13,66.9,26,63.9,QS + THE,Matched,TRUE,TRUE
Anadolu University,Turkey,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1194,27577,21,6,53,47,32.204,23.4,10.8,62.6,22.1,33.4,THE only,THE record not matched in QS,FALSE,TRUE
Anadolu University,Türkiye,2026,1401,1300.5,6.2,Asia,L,SP,VH,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Anáhuac University,Mexico,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,2076,16295,8.8,4,57,43,16.045,24.8,9.2,9.6,16.9,33.4,THE only,THE record not matched in QS,FALSE,TRUE
Anglia Ruskin University (ARU),United Kingdom,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,624,28065,27.2,49,62,38,42.9605,18.5,14.6,83.6,34.1,91,THE only,THE record not matched in QS,FALSE,TRUE
Anhui University,China,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1137,41446,17.4,1,-1,-1,33.086,18.6,16.6,63,55.5,22.2,THE only,THE record not matched in QS,FALSE,TRUE
Ankara Üniversitesi,Türkiye,2026,697,825.5,30.6,Asia,XL,FC,HI,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Ankara University,Turkey,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1226,46452,19.7,7,57,43,31.71,35.5,17,41.3,35.5,33.3,THE only,THE record not matched in QS,FALSE,TRUE
Ankara Yildirim Beyazit University,Turkey,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1817,24127,22.3,10,55,45,21.8035,20.1,13.1,29.5,22.5,31,THE only,THE record not matched in QS,FALSE,TRUE
Anna University,India,2026,465,383,15,Asia,L,SP,VH,Public,984,11396,12.1,1,41,59,35.773,39.2,16.2,51.8,59.9,21,QS + THE,Matched,TRUE,TRUE
Antonio Nariño University,Colombia,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1857,13578,12.7,2,58,42,21.0515,18.4,8.3,28.9,17.1,51.5,THE only,THE record not matched in QS,FALSE,TRUE
Aoyama Gakuin University,Japan,2026,1401,1300.5,7.1,Asia,L,FO,HI,Private not for Profit,2123,20622,18.1,5,49,51,14.7945,16.7,9.4,10.8,29.3,36.4,QS + THE,Matched,TRUE,TRUE
Applied Science Private University,Jordan,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,496,4766,12.6,26,52,48,46.3795,21.7,22.7,87.1,21.5,85.4,THE only,THE record not matched in QS,FALSE,TRUE
