university_name,country,year,ranking_source,rank,score,university_name_std,country_std,rank_original,score_original,rank_normalized,score_normalized
Hacettepe University,Turkey,2026,THE,877.0,37.6329999999999,hacettepe university,turkey,877,37.6329999999999,60.0,31.112399927219688
Waseda University,Japan,2026,THE,878.0,37.5985,waseda university,japan,878,37.5985,59.954337899543376,31.073166848617177
University of Vigo,Spain,2026,THE,879.0,37.5849999999999,university of vigo,spain,879,37.5849999999999,59.90867579908675,31.05781477438126
Inha University,South Korea,2026,THE,880.0,37.5615,inha university,south korea,880,37.5615,59.86301369863014,31.031090793304227
Clark University,United States,2026,THE,881.0,37.559,clark university,united states,881,37.559,59.817351598173516,31.028247816593886
Daffodil International University (DIU),Bangladesh,2026,THE,882.0,37.5585,daffodil international university (diu),bangladesh,882,37.5585,59.77168949771689,31.027679221251823
University of Salento,Italy,2026,THE,883.0,37.552,university of salento,italy,883,37.552,59.726027397260275,31.02028748180495
JSS Academy of Higher Education and Research,India,2026,THE,884.0,37.551,jss academy of higher education and research,india,884,37.551,59.68036529680365,31.019150291120816
MontanuniversitÃ¤t Leoben,Austria,2026,THE,885.0,37.5275,montanuniversitã¤t leoben,austria,885,37.5275,59.634703196347026,30.992426310043676
Shiraz University,Iran,2026,THE,886.0,37.5069999999999,shiraz university,iran,886,37.5069999999999,59.589041095890416,30.969113901018808
Arts et MÃ©tiers,France,2026,THE,887.0,37.477,arts et mã©tiers,france,887,37.477,59.54337899543379,30.934998180494905
University of Wyoming,United States,2026,THE,888.0,37.469,university of wyoming,united states,888,37.469,59.497716894977174,30.925900655021838
Catholic University of Portugal,Portugal,2026,THE,889.0,37.3429999999999,catholic university of portugal,portugal,889,37.3429999999999,59.45205479452055,30.78261462882084
University of Medicine and Pharmacy Carol Davila,Romania,2026,THE,890.0,37.3274999999999,university of medicine and pharmacy carol davila,romania,890,37.3274999999999,59.406392694063925,30.76498817321677
University of Hagen,Germany,2026,THE,891.0,37.32,university of hagen,germany,891,37.32,59.3607305936073,30.75645924308588
