QS_Rank,QS_Previous_Rank,QS_University_Name,QS_Country,QS_Region,QS_Size,QS_Focus,QS_Research_Level,QS_Status,QS_Academic_Reputation_Score,THE_Rank,THE_University_Name,THE_Country,THE_Student_Population,THE_Students_to_Staff_Ratio,THE_International_Students,THE_Female_to_Male_Ratio,THE_Overall_Score,THE_Teaching,THE_Research_Environment,THE_Research_Quality,THE_Industry_Impact,THE_International_Outlook,THE_Year,University_Name,Country,Year,Data_Source,QS_THE_Match_Status
1201-1400,,Amman Arab University,Jordan,Asia,S,FO,VH,Private not for Profit,8.4,,,,,,,,,,,,,,,Amman Arab University,Jordan,2026,QS only,QS record not matched in THE
1001-1200,1001-1200,Amrita Vishwa Vidyapeetham,India,Asia,L,FC,VH,Private not for Profit,6.9,,,,,,,,,,,,,,,Amrita Vishwa Vidyapeetham,India,2026,QS only,QS record not matched in THE
1001-1200,1001-1200,An-Najah National University,Palestine,Asia,L,FC,MD,Public,13.5,914.0,An-Najah National University,Palestine,"25,887",27.0,12%,63 : 37,36.959,24.7,13.0,66.9,26.0,63.9,2026.0,An-Najah National University,Palestine,2026,QS + THE,Matched
,,,,,,,,,,1194.0,Anadolu University,Turkey,"27,577",21.0,6%,53 : 47,32.204,23.4,10.8,62.6,22.1,33.4,2026.0,Anadolu University,Turkey,2026,THE only,THE record not matched in QS
1401+,1201-1400,Anadolu University,Türkiye,Asia,L,SP,VH,Public,6.2,,,,,,,,,,,,,,,Anadolu University,Türkiye,2026,QS only,QS record not matched in THE
,,,,,,,,,,2076.0,Anáhuac University,Mexico,"16,295",8.8,4%,57 : 43,16.044999999999998,24.8,9.2,9.6,16.9,33.4,2026.0,Anáhuac University,Mexico,2026,THE only,THE record not matched in QS
,,,,,,,,,,624.0,Anglia Ruskin University (ARU),United Kingdom,"28,065",27.2,49%,62 : 38,42.9605,18.5,14.6,83.6,34.1,91.0,2026.0,Anglia Ruskin University (ARU),United Kingdom,2026,THE only,THE record not matched in QS
,,,,,,,,,,1137.0,Anhui University,China,"41,446",17.4,1%,,33.086,18.6,16.6,63.0,55.5,22.2,2026.0,Anhui University,China,2026,THE only,THE record not matched in QS
697,801-850,Ankara Üniversitesi,Türkiye,Asia,XL,FC,HI,Public,30.6,,,,,,,,,,,,,,,Ankara Üniversitesi,Türkiye,2026,QS only,QS record not matched in THE
,,,,,,,,,,1226.0,Ankara University,Turkey,"46,452",19.7,7%,57 : 43,31.709999999999997,35.5,17.0,41.3,35.5,33.3,2026.0,Ankara University,Turkey,2026,THE only,THE record not matched in QS
