QS_Rank,QS_Previous_Rank,QS_University_Name,QS_Country,QS_Region,QS_Size,QS_Focus,QS_Research_Level,QS_Status,QS_Academic_Reputation_Score,THE_Rank,THE_University_Name,THE_Country,THE_Student_Population,THE_Students_to_Staff_Ratio,THE_International_Students,THE_Female_to_Male_Ratio,THE_Overall_Score,THE_Teaching,THE_Research_Environment,THE_Research_Quality,THE_Industry_Impact,THE_International_Outlook,THE_Year,University_Name,Country,Year,Data_Source,QS_THE_Match_Status
,,,,,,,,,,1817.0,Ankara Yildirim Beyazit University,Turkey,"24,127",22.3,10%,55 : 45,21.8035,20.1,13.1,29.5,22.5,31.0,2026.0,Ankara Yildirim Beyazit University,Turkey,2026,THE only,THE record not matched in QS
465,383,Anna University,India,Asia,L,SP,VH,Public,15.0,984.0,Anna University,India,"11,396",12.1,1%,41 : 59,35.773,39.2,16.2,51.8,59.9,21.0,2026.0,Anna University,India,2026,QS + THE,Matched
,,,,,,,,,,1857.0,Antonio Nariño University,Colombia,"13,578",12.7,2%,58 : 42,21.0515,18.4,8.3,28.9,17.1,51.5,2026.0,Antonio Nariño University,Colombia,2026,THE only,THE record not matched in QS
1401+,1201-1400,Aoyama Gakuin University,Japan,Asia,L,FO,HI,Private not for Profit,7.1,2123.0,Aoyama Gakuin University,Japan,"20,622",18.1,5%,49 : 51,14.7945,16.7,9.4,10.8,29.3,36.4,2026.0,Aoyama Gakuin University,Japan,2026,QS + THE,Matched
,,,,,,,,,,496.0,Applied Science Private University,Jordan,"4,766",12.6,26%,52 : 48,46.3795,21.7,22.7,87.1,21.5,85.4,2026.0,Applied Science Private University,Jordan,2026,THE only,THE record not matched in QS
791-800,851-900,Applied Science Private University - Jordan,Jordan,Asia,M,CO,HI,Private for Profit,16.4,,,,,,,,,,,,,,,Applied Science Private University - Jordan,Jordan,2026,QS only,QS record not matched in THE
613,539,Applied Science University - Bahrain,Bahrain,Asia,S,FO,VH,Private not for Profit,26.6,,,,,,,,,,,,,,,Applied Science University - Bahrain,Bahrain,2026,QS only,QS record not matched in THE
1001-1200,1001-1200,"Arab Academy for Science, Technology and Maritime Transport",Egypt,Africa,L,FO,VH,Public,7.5,1020.0,"Arab Academy for Science, Technology and Maritime Transport",Egypt,"32,274",10.6,14%,48 : 52,35.0975,35.1,20.6,44.3,28.6,57.8,2026.0,"Arab Academy for Science, Technology and Maritime Transport",Egypt,2026,QS + THE,Matched
,,,,,,,,,,464.0,Arabian Gulf University,Bahrain,"1,458",6.5,73%,71 : 29,47.409,45.2,13.8,73.0,29.2,93.4,2026.0,Arabian Gulf University,Bahrain,2026,THE only,THE record not matched in QS
,,,,,,,,,,1730.0,Arak University,Iran,"6,265",19.2,13%,62 : 38,23.594,19.3,14.6,32.9,29.1,35.1,2026.0,Arak University,Iran,2026,THE only,THE record not matched in QS
,,,,,,,,,,1181.0,Ardabil University of Medical Sciences,Iran,"3,986",12.1,1%,53 : 47,32.409,28.0,11.1,61.5,21.5,21.6,2026.0,Ardabil University of Medical Sciences,Iran,2026,THE only,THE record not matched in QS
,,,,,,,,,,1408.0,Ariel University,Israel,"12,587",18.4,1%,50 : 50,28.536,19.7,21.0,41.8,37.3,34.7,2026.0,Ariel University,Israel,2026,THE only,THE record not matched in QS
485,508,Aristotle University of Thessaloniki,Greece,Europe,XL,FC,VH,Public,38.2,936.0,Aristotle University of Thessaloniki,Greece,"47,845",18.9,5%,58 : 42,36.6215,22.7,19.4,63.4,62.6,37.0,2026.0,Aristotle University of Thessaloniki,Greece,2026,QS + THE,Matched
173,200,Arizona State University,United States of America,Americas,XL,CO,VH,Public,63.9,213.0,Arizona State University (Tempe),United States,"52,956",18.9,17%,45 : 55,57.94,39.6,44.5,84.1,70.7,70.6,2026.0,Arizona State University,United States,2026,QS + THE,Matched
,,,,,,,,,,887.0,Arts et Métiers,France,"6,012",16.6,14%,19 : 81,37.477,35.1,23.0,40.6,82.5,66.3,2026.0,Arts et Métiers,France,2026,THE only,THE record not matched in QS
1001-1200,951-1000,Asfendiyarov Kazakh National Medical University,Kazakhstan,Asia,M,FO,HI,Public,7.3,,,,,,,,,,,,,,,Asfendiyarov Kazakh National Medical University,Kazakhstan,2026,QS only,QS record not matched in THE
1201-1400,,Ashoka University,India,Asia,S,SP,VH,Private for Profit,10.1,,,,,,,,,,,,,,,Ashoka University,India,2026,QS only,QS record not matched in THE
597,611-620,Asia Pacific University of Technology and Innovation (APU) Malaysia,Malaysia,Asia,S,SP,HI,Private for Profit,17.3,,,,,,,,,,,,,,,Asia Pacific University of Technology and Innovation (APU) Malaysia,Malaysia,2026,QS only,QS record not matched in THE
711-720,801-850,Asia University Taiwan,Taiwan,Asia,M,CO,VH,Private for Profit,9.0,492.0,"Asia University, Taiwan",Taiwan,"10,858",29.9,3%,63 : 37,46.5825,16.6,34.9,82.8,75.3,49.5,2026.0,Asia University Taiwan,Taiwan,2026,QS + THE,Matched
1001-1200,1001-1200,Assiut University,Egypt,Africa,XL,FC,HI,Public,16.3,1300.0,Assiut University,Egypt,"86,744",13.2,5%,51 : 49,30.4025,23.6,12.4,48.3,25.3,57.9,2026.0,Assiut University,Egypt,2026,QS + THE,Matched
395,423,Aston University,United Kingdom,Europe,L,CO,VH,Public,18.1,427.0,Aston University,United Kingdom,"15,710",20.9,35%,47 : 53,48.841,21.7,26.2,83.6,64.6,95.7,2026.0,Aston University,United Kingdom,2026,QS + THE,Matched
1401+,,Aswan University,Egypt,Africa,L,FC,HI,Public,7.1,1184.0,Aswan University,Egypt,"32,185",31.6,0%,50 : 50,32.31,16.0,11.9,64.9,22.6,50.2,2026.0,Aswan University,Egypt,2026,QS + THE,Matched
,,,,,,,,,,953.0,Atatürk University,Turkey,"33,912",24.7,10%,50 : 50,36.27499999999999,29.5,28.0,51.8,29.0,36.7,2026.0,Atatürk University,Turkey,2026,THE only,THE record not matched in QS
1201-1400,1201-1400,Ataturk University,Türkiye,Asia,XL,CO,VH,Public,8.1,,,,,,,,,,,,,,,Ataturk University,Türkiye,2026,QS only,QS record not matched in THE
511,516,Ateneo de Manila University,Philippines,Asia,L,FC,MD,Private not for Profit,32.2,1070.0,Ateneo de Manila University,Philippines,"14,540",10.1,1%,56 : 44,34.245,27.0,11.2,64.7,23.8,35.6,2026.0,Ateneo de Manila University,Philippines,2026,QS + THE,Matched
951-1000,951-1000,Athens University of Economics And Business,Greece,Europe,M,SP,HI,Public,10.1,1207.0,Athens University of Economics and Business,Greece,"9,211",44.7,5%,46 : 54,32.031499999999994,18.7,24.6,45.3,63.4,43.4,2026.0,Athens University of Economics And Business,Greece,2026,QS + THE,Matched
,,,,,,,,,,1799.0,Atılım University,Turkey,"9,249",22.2,12%,46 : 54,22.279,16.0,11.5,32.6,24.1,46.4,2026.0,Atılım University,Turkey,2026,THE only,THE record not matched in QS
1401+,1201-1400,Atma Jaya Catholic University Indonesia,Indonesia,Asia,M,FO,HI,Private for Profit,11.1,,,,,,,,,,,,,,,Atma Jaya Catholic University Indonesia,Indonesia,2026,QS only,QS record not matched in THE
,,,,,,,,,,1923.0,Atma Jaya Catholic University of Indonesia,Indonesia,"7,908",17.6,7%,46 : 54,19.389,18.0,12.7,19.5,22.9,48.4,2026.0,Atma Jaya Catholic University of Indonesia,Indonesia,2026,THE only,THE record not matched in QS
851-900,951-1000,Auburn University,United States of America,Americas,XL,CO,VH,Public,11.6,644.0,Auburn University,United States,"28,365",18.5,7%,51 : 49,42.5055,36.5,27.9,55.6,71.8,54.6,2026.0,Auburn University,United States,2026,QS + THE,Matched
410,412,Auckland University of Technology,New Zealand,Oceania,L,CO,VH,Public,29.6,587.0,Auckland University of Technology,New Zealand,"17,420",17.0,49%,59 : 41,44.19849999999999,22.6,22.8,73.6,49.8,91.3,2026.0,Auckland University of Technology,New Zealand,2026,QS + THE,Matched
731-740,621-630,Auezov South Kazakhstan State University (SKSU),Kazakhstan,Asia,L,CO,MD,Public,21.2,,,,,,,,,,,,,,,Auezov South Kazakhstan State University (SKSU),Kazakhstan,2026,QS only,QS record not matched in THE
,,,,,,,,,,1311.0,Austral University,Argentina,"6,488",10.8,8%,55 : 45,30.2045,23.0,11.8,50.6,22.0,52.5,2026.0,Austral University,Argentina,2026,THE only,THE record not matched in QS
,,,,,,,,,,1705.0,Austral University of Chile,Chile,"18,781",19.1,1%,55 : 45,23.952,15.6,17.2,29.2,41.8,52.4,2026.0,Austral University of Chile,Chile,2026,THE only,THE record not matched in QS
851-900,901-950,Australian Catholic University,Australia,Oceania,L,CO,HI,Public,12.0,425.0,Australian Catholic University,Australia,"22,604",31.7,20%,76 : 24,48.927,17.7,24.7,97.1,28.0,83.9,2026.0,Australian Catholic University,Australia,2026,QS + THE,Matched
32,30,Australian National University,Australia,Oceania,L,FC,VH,Public,97.9,74.0,Australian National University,Australia,"17,243",13.3,51%,54 : 46,71.1075,56.7,62.6,85.7,86.3,94.2,2026.0,Australian National University,Australia,2026,QS + THE,Matched
,,,,,,,,,,2136.0,Autonomous University of Baja California,Mexico,"69,358",21.2,0%,55 : 45,14.4465,14.8,9.0,14.4,18.2,32.3,2026.0,Autonomous University of Baja California,Mexico,2026,THE only,THE record not matched in QS
,,,,,,,,,,2175.0,Autonomous University of Guerrero (UAGro),Mexico,"34,492",24.3,0%,59 : 41,13.158499999999998,16.0,7.7,10.9,17.7,29.7,2026.0,Autonomous University of Guerrero (UAGro),Mexico,2026,THE only,THE record not matched in QS
,,,,,,,,,,384.0,Autonomous University of Madrid,Spain,"29,772",13.0,14%,62 : 38,50.303,41.8,31.3,73.4,66.5,56.2,2026.0,Autonomous University of Madrid,Spain,2026,THE only,THE record not matched in QS
,,,,,,,,,,1479.0,Autonomous University of Sinaloa,Mexico,"79,206",17.3,9%,55 : 45,27.538,16.9,7.6,55.8,16.9,39.1,2026.0,Autonomous University of Sinaloa,Mexico,2026,THE only,THE record not matched in QS
,,,,,,,,,,1769.0,Aydın Adnan Menderes University,Turkey,"13,698",13.8,2%,51 : 49,22.7985,28.4,20.3,20.0,20.4,22.9,2026.0,Aydın Adnan Menderes University,Turkey,2026,THE only,THE record not matched in QS
,,,,,,,,,,1223.0,Azarbaijan Shahid Madani University,Iran,"7,326",17.8,9%,57 : 43,31.7375,19.3,13.7,61.0,20.4,39.4,2026.0,Azarbaijan Shahid Madani University,Iran,2026,THE only,THE record not matched in QS
851-900,1001-1200,Azerbaijan State Oil and Industry University,Azerbaijan,Asia,L,FO,HI,Public,13.1,1962.0,Azerbaijan State Oil and Industry University,Azerbaijan,"12,831",10.3,6%,38 : 62,18.5745,25.0,8.1,15.7,19.7,44.7,2026.0,Azerbaijan State Oil and Industry University,Azerbaijan,2026,QS + THE,Matched
801-850,1001-1200,Azerbaijan State University of Economics,Azerbaijan,Asia,L,FO,HI,Public,21.2,905.0,Azerbaijan State University of Economics,Azerbaijan,"13,473",9.2,7%,44 : 56,37.151,23.4,9.3,74.5,19.4,59.0,2026.0,Azerbaijan State University of Economics,Azerbaijan,2026,QS + THE,Matched
851-900,,Azerbaijan Technical University,Azerbaijan,Asia,M,SP,MD,,19.1,2097.0,Azerbaijan Technical University (AzTU),Azerbaijan,"9,118",6.9,8%,47 : 53,15.5225,26.2,7.5,5.7,30.4,35.9,2026.0,Azerbaijan Technical University,Azerbaijan,2026,QS + THE,Matched
1001-1200,,Azerbaijan University of Architecture and Construction,Azerbaijan,Asia,M,FO,MD,Public,25.7,,,,,,,,,,,,,,,Azerbaijan University of Architecture and Construction,Azerbaijan,2026,QS only,QS record not matched in THE
,,,,,,,,,,1721.0,B. S. Abdur Rahman Crescent Institute of Science and Technology,India,"9,428",16.5,0%,28 : 72,23.754,20.1,10.6,39.4,26.2,25.1,2026.0,B. S. Abdur Rahman Crescent Institute of Science and Technology,India,2026,THE only,THE record not matched in QS
,,,,,,,,,,1535.0,Babcock University,Nigeria,"13,134",28.1,0%,51 : 49,26.7055,27.6,9.9,41.8,16.0,33.5,2026.0,Babcock University,Nigeria,2026,THE only,THE record not matched in QS
761-770,781-790,Babes-Bolyai University,Romania,Europe,XL,CO,VH,Public,21.9,1313.0,Babeş-Bolyai University,Romania,"40,388",18.8,5%,64 : 36,30.194,20.7,18.6,48.1,32.9,39.3,2026.0,Babes-Bolyai University,Romania,2026,QS + THE,Matched
,,,,,,,,,,655.0,Babol Noshirvani University of Technology,Iran,"5,917",26.6,3%,34 : 66,42.275,22.1,21.9,86.1,36.3,28.3,2026.0,Babol Noshirvani University of Technology,Iran,2026,THE only,THE record not matched in QS
,,,,,,,,,,774.0,Babol University of Medical Sciences,Iran,"4,418",11.8,1%,54 : 46,39.6225,40.7,12.6,71.1,22.3,23.2,2026.0,Babol University of Medical Sciences,Iran,2026,THE only,THE record not matched in QS
,,,,,,,,,,1762.0,Badji Mokhtar University – Annaba,Algeria,"30,510",9.0,2%,75 : 25,22.922,39.9,8.8,17.0,21.3,35.3,2026.0,Badji Mokhtar University – Annaba,Algeria,2026,THE only,THE record not matched in QS
1201-1400,1201-1400,Bahauddin Zakariya University,Pakistan,Asia,L,CO,VH,Public,8.5,784.0,Bahauddin Zakariya University,Pakistan,"19,120",19.5,0%,40 : 60,39.461,23.7,18.1,75.0,25.2,49.5,2026.0,Bahauddin Zakariya University,Pakistan,2026,QS + THE,Matched
,,,,,,,,,,974.0,Bahçeşehir University,Turkey,"19,548",46.0,24%,50 : 50,35.971,19.0,22.9,59.4,34.0,60.6,2026.0,Bahçeşehir University,Turkey,2026,THE only,THE record not matched in QS
,,,,,,,,,,1183.0,Bahria University,Pakistan,"23,030",20.0,1%,48 : 52,32.3695,15.0,10.6,65.4,34.7,51.5,2026.0,Bahria University,Pakistan,2026,THE only,THE record not matched in QS
901-950,,Baku Engineering University,Azerbaijan,Asia,M,FO,MD,Public,24.9,,,,,,,,,,,,,,,Baku Engineering University,Azerbaijan,2026,QS only,QS record not matched in THE
688,951-1000,Baku State University,Azerbaijan,Asia,L,CO,HI,Public,22.0,1791.0,Baku State University,Azerbaijan,"19,165",12.1,5%,60 : 40,22.413500000000003,30.1,10.1,21.2,21.0,45.4,2026.0,Baku State University,Azerbaijan,2026,QS + THE,Matched
,,,,,,,,,,2148.0,Balıkesir University,Turkey,"31,117",24.9,2%,48 : 52,14.280499999999998,14.6,9.9,15.7,21.0,20.7,2026.0,Balıkesir University,Turkey,2026,THE only,THE record not matched in QS
,,,,,,,,,,1763.0,"Balochistan University of Information Technology, Engineering and Management Sciences (BUITEMS)",Pakistan,"15,352",24.6,0%,22 : 78,22.9095,10.8,9.5,41.3,20.9,49.9,2026.0,"Balochistan University of Information Technology, Engineering and Management Sciences (BUITEMS)",Pakistan,2026,THE only,THE record not matched in QS
1001-1200,1001-1200,Banaras Hindu University,India,Asia,L,FC,VH,Public,18.9,605.0,Banaras Hindu University,India,"12,447",7.9,4%,49 : 51,43.590500000000006,49.9,18.0,67.8,31.0,27.6,2026.0,Banaras Hindu University,India,2026,QS + THE,Matched
,,,,,,,,,,1279.0,Banasthali University,India,"12,751",22.4,2%,99 : 1,30.6305,29.8,13.4,50.1,29.4,23.3,2026.0,Banasthali University,India,2026,THE only,THE record not matched in QS
255,256,Bandung Institute of Technology (ITB),Indonesia,Asia,L,CO,VH,Public,58.5,,,,,,,,,,,,,,,Bandung Institute of Technology (ITB),Indonesia,2026,QS only,QS record not matched in THE
,,,,,,,,,,1112.0,Bangladesh Agricultural University (BAU),Bangladesh,"7,855",13.3,1%,45 : 55,33.49,21.2,10.3,65.2,24.6,49.4,2026.0,Bangladesh Agricultural University (BAU),Bangladesh,2026,THE only,THE record not matched in QS
761-770,761-770,Bangladesh University of Engineering and Technology,Bangladesh,Asia,M,SP,VH,Public,21.3,1032.0,Bangladesh University of Engineering and Technology,Bangladesh,"5,814",11.3,0%,22 : 78,34.891000000000005,23.1,15.2,65.4,38.4,33.5,2026.0,Bangladesh University of Engineering and Technology,Bangladesh,2026,QS + THE,Matched
566,474,Bangor University,United Kingdom,Europe,M,FC,VH,Public,12.8,507.0,Bangor University,United Kingdom,"9,035",15.7,31%,59 : 41,46.039,28.3,26.0,70.3,63.2,87.1,2026.0,Bangor University,United Kingdom,2026,QS + THE,Matched
,,,,,,,,,,961.0,Baqiyatallah University of Medical Sciences,Iran,"2,650",7.4,3%,23 : 77,36.1925,39.5,18.1,50.0,64.9,22.6,2026.0,Baqiyatallah University of Medical Sciences,Iran,2026,THE only,THE record not matched in QS
660,671-680,Bar-Ilan University,Israel,Asia,L,FC,VH,Public,11.0,715.0,Bar-Ilan University,Israel,"19,887",20.6,4%,58 : 42,40.939,33.8,34.8,52.6,65.9,32.8,2026.0,Bar-Ilan University,Israel,2026,QS + THE,Matched
,,,,,,,,,,1151.0,Bartin University,Turkey,"10,537",21.8,14%,49 : 51,32.876,13.7,14.3,69.5,18.5,41.3,2026.0,Bartin University,Turkey,2026,THE only,THE record not matched in QS
,,,,,,,,,,1767.0,Bashkir State Medical University,Russian Federation,"14,567",9.8,36%,47 : 53,22.887,28.3,10.3,23.5,20.1,49.3,2026.0,Bashkir State Medical University,Russian Federation,2026,THE only,THE record not matched in QS
,,,,,,,,,,1991.0,Başkent University,Turkey,"14,593",13.7,3%,59 : 41,17.974500000000003,20.8,11.8,19.0,24.6,23.1,2026.0,Başkent University,Turkey,2026,THE only,THE record not matched in QS
320,298,Bauman Moscow State Technical University,Russian Federation,Europe,L,CO,VH,Public,41.1,340.0,Bauman Moscow State Technical University,Russian Federation,"15,623",6.9,20%,45 : 55,52.136,68.4,42.8,43.0,54.4,59.6,2026.0,Bauman Moscow State Technical University,Russian Federation,2026,QS + THE,Matched
,,,,,,,,,,1178.0,Bayero University,Nigeria,"29,362",16.9,0%,44 : 56,32.4775,22.5,11.0,60.7,18.0,49.6,2026.0,Bayero University,Nigeria,2026,THE only,THE record not matched in QS
1001-1200,1001-1200,Baylor University,United States of America,Americas,L,CO,VH,Private not for Profit,8.7,807.0,Baylor University,United States,"21,096",14.9,6%,61 : 39,38.9465,43.0,19.4,53.6,43.2,37.7,2026.0,Baylor University,United States,2026,QS + THE,Matched
,,,,,,,,,,252.0,Beihang University,China,"35,223",13.4,4%,,56.3285,47.8,46.5,73.8,100.0,34.7,2026.0,Beihang University,China,2026,THE only,THE record not matched in QS
388,452,Beihang University (former BUAA),China (Mainland),Asia,L,CO,VH,Public,18.3,,,,,,,,,,,,,,,Beihang University (former BUAA),China (Mainland),2026,QS only,QS record not matched in THE
1201-1400,1201-1400,Beijing Foreign Studies University,China (Mainland),Asia,M,SP,VH,Public,8.4,,,,,,,,,,,,,,,Beijing Foreign Studies University,China (Mainland),2026,QS only,QS record not matched in THE
,,,,,,,,,,238.0,Beijing Institute of Technology,China,"33,624",12.9,12%,,56.9185,46.5,44.3,76.6,99.6,45.2,2026.0,Beijing Institute of Technology,China,2026,THE only,THE record not matched in QS
259,302,Beijing Institute of Technology,China (Mainland),Asia,XL,FO,VH,Public,34.3,,,,,,,,,,,,,,,Beijing Institute of Technology,China (Mainland),2026,QS only,QS record not matched in THE
851-900,901-950,Beijing Jiaotong University,China (Mainland),Asia,L,FO,VH,Public,12.3,,,,,,,,,,,,,,,Beijing Jiaotong University,China (Mainland),2026,QS only,QS record not matched in THE
,,,,,,,,,,136.0,Beijing Normal University,China,"29,655",15.5,7%,,62.893,59.6,49.3,80.9,89.1,42.4,2026.0,Beijing Normal University,China,2026,THE only,THE record not matched in QS
247,271,Beijing Normal University,China (Mainland),Asia,L,CO,VH,Public,47.6,,,,,,,,,,,,,,,Beijing Normal University,China (Mainland),2026,QS only,QS record not matched in THE
,,,,,,,,,,451.0,Beijing University of Chemical Technology,China,"26,260",18.5,1%,40 : 60,48.00899999999999,26.4,31.8,84.2,96.6,25.0,2026.0,Beijing University of Chemical Technology,China,2026,THE only,THE record not matched in QS
697,701-710,Beijing University of Chemical Technology,China (Mainland),Asia,L,CO,VH,Public,6.1,,,,,,,,,,,,,,,Beijing University of Chemical Technology,China (Mainland),2026,QS only,QS record not matched in THE
1201-1400,1201-1400,Beijing University of Chinese Medicine,China (Mainland),Asia,L,FO,VH,Public,5.7,,,,,,,,,,,,,,,Beijing University of Chinese Medicine,China (Mainland),2026,QS only,QS record not matched in THE
1001-1200,901-950,Beijing University of Posts and Telecommunications,China (Mainland),Asia,L,FO,VH,Public,4.3,,,,,,,,,,,,,,,Beijing University of Posts and Telecommunications,China (Mainland),2026,QS only,QS record not matched in THE
791-800,801-850,Beijing University of Technology,China (Mainland),Asia,L,CO,VH,Public,9.0,,,,,,,,,,,,,,,Beijing University of Technology,China (Mainland),2026,QS only,QS record not matched in THE
676,641-650,Beirut Arab University,Lebanon,Asia,S,FC,HI,Private not for Profit,20.0,799.0,Beirut Arab University,Lebanon,"4,167",10.4,21%,45 : 55,39.079,43.0,17.3,46.3,21.8,88.2,2026.0,Beirut Arab University,Lebanon,2026,QS + THE,Matched
851-900,801-850,Belarusian National Technical University,Belarus,Europe,L,SP,LO,Public,16.6,,,,,,,,,,,,,,,Belarusian National Technical University,Belarus,2026,QS only,QS record not matched in THE
447,387,Belarusian State University,Belarus,Europe,L,CO,HI,Public,32.5,1880.0,Belarusian State University,Belarus,"23,445",8.3,22%,58 : 42,20.5105,24.7,11.1,10.9,45.0,65.8,2026.0,Belarusian State University,Belarus,2026,QS + THE,Matched
1401+,1201-1400,Belarusian State University of Informatics and Radioelectronics,Belarus,Europe,M,CO,HI,Public,6.7,,,,,,,,,,,,,,,Belarusian State University of Informatics and Radioelectronics,Belarus,2026,QS only,QS record not matched in THE
,,,,,,,,,,1939.0,Belgorod State National Research University,Russian Federation,"17,325",21.2,22%,57 : 43,18.958,21.8,16.4,11.1,34.9,40.6,2026.0,Belgorod State National Research University,Russian Federation,2026,THE only,THE record not matched in QS
1401+,1201-1400,Belgorod State University,Russian Federation,Europe,L,FC,HI,Public,3.1,,,,,,,,,,,,,,,Belgorod State University,Russian Federation,2026,QS only,QS record not matched in THE
469,471,Ben Gurion University of The Negev,Israel,Asia,L,FC,VH,Public,19.5,738.0,Ben-Gurion University of the Negev,Israel,"16,196",12.0,2%,52 : 48,40.3075,35.5,25.3,57.3,65.2,36.0,2026.0,Ben Gurion University of The Negev,Israel,2026,QS + THE,Matched
1201-1400,1201-1400,Benemérita Universidad Autónoma de Puebla,Mexico,Americas,XL,FC,HI,Public,19.9,2024.0,Benemérita Universidad Autónoma de Puebla,Mexico,"84,699",24.0,1%,53 : 47,17.313499999999998,23.3,9.8,13.5,21.2,36.0,2026.0,Benemérita Universidad Autónoma de Puebla,Mexico,2026,QS + THE,Matched
1401+,,Benha University,Egypt,Africa,XL,FC,HI,Public,6.2,1235.0,Benha University,Egypt,"111,190",28.9,1%,46 : 54,31.5795,16.5,10.3,63.9,22.0,49.0,2026.0,Benha University,Egypt,2026,QS + THE,Matched
1201-1400,,Beni-Suef University,Egypt,Africa,XL,FC,HI,Public,8.7,1096.0,Beni-Suef University,Egypt,"82,628",44.9,1%,48 : 52,33.79,25.8,11.3,59.4,22.8,55.6,2026.0,Beni-Suef University,Egypt,2026,QS + THE,Matched
,,,,,,,,,,2082.0,Bernardo O’Higgins University,Chile,"9,085",17.7,2%,66 : 34,15.918,14.6,10.8,13.1,22.6,48.6,2026.0,Bernardo O’Higgins University,Chile,2026,THE only,THE record not matched in QS
,,,,,,,,,,2079.0,Beykent University,Turkey,"19,003",24.0,5%,55 : 45,15.9685,14.4,8.3,21.9,17.4,27.3,2026.0,Beykent University,Turkey,2026,THE only,THE record not matched in QS
,,,,,,,,,,1608.0,Bezmiâlem Vakif University,Turkey,"2,814",8.1,5%,70 : 30,25.522,37.8,12.0,26.1,22.9,28.6,2026.0,Bezmiâlem Vakif University,Turkey,2026,THE only,THE record not matched in QS
,,,,,,,,,,806.0,Bharathiar University,India,"3,927",19.2,0%,55 : 45,38.9675,35.9,25.9,55.7,45.4,31.2,2026.0,Bharathiar University,India,2026,THE only,THE record not matched in QS
,,,,,,,,,,1238.0,Bharathidasan University,India,"3,430",20.1,0%,53 : 47,31.558,34.7,18.3,41.1,32.3,31.9,2026.0,Bharathidasan University,India,2026,THE only,THE record not matched in QS
,,,,,,,,,,1813.0,Bharati Vidyapeeth University,India,"10,893",7.6,0%,52 : 48,21.856500000000004,27.1,11.1,25.1,39.2,20.6,2026.0,Bharati Vidyapeeth University,India,2026,THE only,THE record not matched in QS
,,,,,,,,,,1843.0,Bialystok University of Technology,Poland,"6,335",11.0,5%,34 : 66,21.256500000000003,23.5,14.0,23.5,28.6,27.6,2026.0,Bialystok University of Technology,Poland,2026,THE only,THE record not matched in QS
,,,,,,,,,,1861.0,Bilecik Şeyh Edebali University,Turkey,"12,222",16.7,19%,47 : 53,20.987,16.3,10.2,31.7,21.7,37.9,2026.0,Bilecik Şeyh Edebali University,Turkey,2026,THE only,THE record not matched in QS
,,,,,,,,,,631.0,Bilkent University,Turkey,"8,980",19.8,6%,48 : 52,42.783,28.4,35.5,51.3,99.5,63.2,2026.0,Bilkent University,Turkey,2026,THE only,THE record not matched in QS
415,477,Bilkent University,Türkiye,Asia,M,CO,VH,Private not for Profit,33.8,,,,,,,,,,,,,,,Bilkent University,Türkiye,2026,QS only,QS record not matched in THE
1001-1200,1001-1200,Binghamton University SUNY,United States of America,Americas,L,CO,VH,Public,10.1,,,,,,,,,,,,,,,Binghamton University SUNY,United States,2026,QS only,QS record not matched in THE
851-900,951-1000,BINUS UNIVERSITY (Bina Nusantara University),Indonesia,Asia,L,CO,VH,Private for Profit,20.1,1445.0,BINUS University,Indonesia,"15,258",13.9,4%,41 : 59,28.1345,21.4,23.5,34.2,50.6,36.3,2026.0,BINUS UNIVERSITY (Bina Nusantara University),Indonesia,2026,QS + THE,Matched
,,,,,,,,,,817.0,Birjand University of Medical Sciences,Iran,"4,171",12.0,5%,57 : 43,38.692,36.2,12.5,70.0,20.2,34.4,2026.0,Birjand University of Medical Sciences,Iran,2026,THE only,THE record not matched in QS
388,408,"Birkbeck College, University of London",United Kingdom,Europe,M,CO,VH,Public,15.5,,,,,,,,,,,,,,,"Birkbeck College, University of London",United Kingdom,2026,QS only,QS record not matched in THE
,,,,,,,,,,349.0,"Birkbeck, University of London",United Kingdom,"7,420",17.3,43%,57 : 43,51.717,34.2,32.2,76.0,65.5,91.6,2026.0,"Birkbeck, University of London",United Kingdom,2026,THE only,THE record not matched in QS
